,bedrooms,bathrooms,floors,waterfront,view,condition,grade,zipcode,lat,long,sqft_living15,sqft_lot15,price,renovated,basement,decade
0,3,1.0,1.0,0,0,3,7,98178,47.5112,-122.257,1340,5650,221900,True,False,50s
1,3,2.25,2.0,0,0,3,7,98125,47.721,-122.319,1690,7639,538000,True,True,50s
2,2,1.0,1.0,0,0,3,6,98028,47.7379,-122.233,2720,8062,180000,True,False,<40s
3,4,3.0,1.0,0,0,5,7,98136,47.5208,-122.393,1360,5000,604000,True,True,60s
4,3,2.0,1.0,0,0,3,8,98074,47.6168,-122.045,1800,7503,510000,True,False,80s
5,4,4.5,1.0,0,0,3,11,98053,47.6561,-122.005,4760,101930,1230000,True,True,00s
6,3,2.25,2.0,0,0,3,7,98003,47.3097,-122.327,2238,6819,257500,True,False,90s
7,3,1.5,1.0,0,0,3,7,98198,47.4095,-122.315,1650,9711,291850,True,False,60s
8,3,1.0,1.0,0,0,3,7,98146,47.5123,-122.337,1780,8113,229500,False,True,50s
9,3,2.5,2.0,0,0,3,7,98038,47.3684,-122.031,2390,7570,323000,True,False,00s
10,3,2.5,1.0,0,0,3,8,98007,47.6007,-122.145,2210,8925,662500,True,True,60s
11,2,1.0,1.0,0,0,4,7,98115,47.69,-122.292,1330,6000,468000,True,True,40s
12,3,1.0,1.5,0,0,4,7,98028,47.7558,-122.229,1780,12697,310000,True,False,<40s
13,3,1.75,1.0,0,0,4,7,98074,47.6127,-122.045,1370,10208,400000,False,False,70s
14,5,2.0,1.5,0,0,3,7,98107,47.67,-122.394,1360,4850,530000,True,False,<40s
15,4,3.0,2.0,0,3,3,9,98126,47.5714,-122.375,2140,4000,650000,True,True,70s
16,3,2.0,2.0,0,0,3,7,98019,47.7277,-121.962,1890,14018,395000,False,False,90s
17,4,1.0,1.5,0,0,4,7,98103,47.6648,-122.343,1610,4300,485000,True,False,<40s
18,2,1.0,1.0,0,0,4,7,98002,47.3089,-122.21,1060,5095,189000,True,False,<40s
19,3,1.0,1.0,0,0,4,7,98003,47.3343,-122.306,1280,8850,230000,True,False,60s
20,4,1.75,1.0,0,0,4,7,98133,47.7025,-122.341,1400,4980,385000,True,True,40s
21,3,2.75,1.0,0,4,3,9,98040,47.5316,-122.233,4110,20336,2000000,True,True,60s
22,5,2.5,2.0,0,0,3,8,98092,47.3266,-122.169,2240,7005,285000,True,False,90s
23,2,1.5,1.0,0,0,3,7,98030,47.3533,-122.166,1220,8386,252700,True,False,80s
24,3,2.25,2.0,0,0,4,8,98030,47.3739,-122.172,2200,6865,329000,True,False,80s
25,3,2.0,1.5,0,0,5,6,98002,47.3048,-122.218,1030,4705,233000,True,False,40s
26,3,1.75,2.0,0,0,3,8,98119,47.6386,-122.36,1760,3573,937000,True,True,<40s
27,3,1.0,1.5,0,0,5,8,98112,47.6221,-122.314,1860,3861,667000,True,False,<40s
28,3,1.75,1.0,0,0,3,7,98115,47.695,-122.304,1520,6235,438000,False,True,40s
29,4,2.5,2.0,0,0,3,8,98052,47.7073,-122.11,2630,6026,719000,True,False,00s
30,3,2.5,2.0,0,0,3,8,98027,47.5391,-122.07,2580,3980,580500,True,False,00s
31,2,1.5,3.0,0,0,3,7,98133,47.7274,-122.357,1390,1756,280000,True,False,00s
32,4,1.75,1.5,0,0,4,7,98117,47.6823,-122.368,1460,5000,687500,True,True,<40s
33,3,1.0,1.5,0,0,4,8,98117,47.6889,-122.375,1570,5080,535000,True,False,<40s
34,4,2.75,1.0,0,0,3,7,98058,47.4276,-122.157,2020,8720,322500,True,True,80s
35,3,2.5,1.5,0,0,3,8,98115,47.6827,-122.31,1590,3264,696000,True,True,<40s
36,4,1.0,1.0,0,0,1,5,98052,47.6621,-122.132,2160,11467,550000,True,True,<40s
37,4,2.0,2.0,0,0,4,8,98107,47.6702,-122.362,1730,4700,640000,True,False,<40s
38,4,1.0,1.0,0,0,2,7,98001,47.3341,-122.282,1290,7800,240000,True,True,60s
39,4,2.5,2.0,0,0,3,8,98056,47.5301,-122.18,2620,11884,605000,False,False,90s
40,4,2.5,2.0,0,0,3,9,98074,47.6145,-122.027,2470,5669,625000,True,False,90s
41,4,2.25,1.0,0,0,3,8,98166,47.445,-122.347,2410,30617,775000,True,True,80s
42,5,2.75,2.0,0,0,3,9,98053,47.6848,-122.016,3625,5639,861990,True,False,10s
43,3,1.0,2.0,0,0,3,7,98119,47.6413,-122.364,1580,2640,685000,True,False,<40s
44,3,1.0,1.0,0,0,4,6,98058,47.4485,-122.175,1340,8808,309000,True,True,50s
45,3,2.5,2.0,0,0,3,8,98019,47.7443,-121.977,3050,9232,488000,True,False,00s
46,3,1.0,1.0,0,0,3,6,98023,47.3066,-122.371,1228,8840,210490,True,False,60s
47,4,2.5,2.0,0,0,4,9,98007,47.6194,-122.151,2680,13685,785000,True,False,80s
48,3,1.75,1.0,0,0,4,7,98115,47.6796,-122.301,970,5100,450000,True,False,50s
49,3,2.5,1.0,1,2,5,9,98070,47.4041,-122.451,2680,72513,1350000,True,True,50s
50,3,1.0,1.0,0,0,3,7,98148,47.4258,-122.322,1190,9364,228000,False,False,50s
51,5,2.5,1.0,0,0,4,8,98056,47.4934,-122.189,1990,9133,345000,True,True,60s
52,3,1.75,1.0,0,0,4,7,98117,47.6808,-122.384,1410,4080,600000,False,True,40s
53,2,1.75,1.0,0,0,3,7,98117,47.6989,-122.369,1480,6738,585000,True,True,80s
54,5,2.25,1.5,0,0,3,8,98105,47.6571,-122.281,2730,6000,920000,False,True,<40s
55,4,2.5,2.0,0,0,3,9,98105,47.6597,-122.29,1950,5000,885000,True,False,90s
56,4,2.5,2.0,0,0,3,7,98042,47.3663,-122.114,2250,4500,292500,False,False,00s
57,3,2.5,2.0,0,0,3,8,98042,47.3663,-122.122,2690,4750,301000,True,False,00s
58,5,3.25,2.0,0,4,4,8,98008,47.588,-122.116,2960,11044,951000,True,False,60s
59,4,3.0,2.0,0,0,3,8,98059,47.5059,-122.149,2270,8542,430000,True,False,90s
60,3,2.25,1.0,0,3,4,8,98166,47.4336,-122.339,2570,18900,650000,True,True,50s
61,3,1.75,1.0,0,0,3,7,98148,47.4366,-122.335,1290,8750,289000,True,False,50s
62,3,1.75,2.0,0,0,5,8,98166,47.4428,-122.344,2500,9500,505000,True,False,70s
63,3,1.75,3.0,0,0,3,8,98115,47.6765,-122.32,1580,3090,549000,True,False,10s
64,3,2.25,1.0,0,0,3,7,98122,47.6113,-122.297,1440,4080,425000,True,True,70s
65,3,2.75,1.5,0,0,5,7,98144,47.5747,-122.304,1440,4000,317625,True,True,<40s
66,4,2.5,2.0,0,0,3,10,98004,47.5815,-122.192,2750,11049,975000,True,False,80s
67,4,2.5,2.0,0,0,3,7,98001,47.3378,-122.257,2221,4557,287000,True,False,00s
68,3,1.0,1.0,0,0,4,7,98042,47.3621,-122.11,1010,12635,204000,True,False,60s
69,5,2.25,1.0,0,0,3,8,98004,47.6303,-122.215,3390,20158,1330000,True,True,60s
70,5,3.25,1.0,0,0,4,11,98005,47.6525,-122.16,3530,38917,1040000,True,True,70s
71,3,2.0,1.0,0,0,4,7,98034,47.7362,-122.179,1640,4745,325000,True,False,70s
72,4,2.0,1.5,0,0,5,7,98125,47.7168,-122.287,1510,7807,571000,True,True,<40s
73,4,2.5,2.0,0,0,3,8,98038,47.3608,-122.036,2420,5000,360000,True,False,00s
74,3,1.75,1.0,0,0,5,7,98042,47.3511,-122.073,1940,50529,349000,True,True,60s
75,4,4.0,2.0,0,0,4,10,98075,47.5822,-121.987,3240,35020,832500,True,True,80s
76,4,1.75,1.0,0,0,3,7,98008,47.6034,-122.125,1680,7500,380000,True,True,50s
77,3,1.0,1.0,0,0,3,7,98116,47.5636,-122.394,890,5060,480000,True,False,40s
78,3,1.0,1.0,0,0,4,7,98133,47.7073,-122.34,1130,5693,410000,True,True,50s
79,4,2.5,2.0,0,0,3,10,98010,47.342,-122.025,3350,39750,720000,True,False,00s
80,3,2.5,2.0,0,0,3,8,98038,47.3512,-122.008,2350,5363,390000,False,False,00s
81,4,2.5,2.0,0,0,3,7,98038,47.349,-122.031,1870,6405,360000,True,False,90s
82,2,1.0,1.0,0,0,3,7,98118,47.5474,-122.291,1720,6720,355000,True,True,40s
83,3,1.5,1.0,0,0,3,8,98059,47.4811,-122.149,1850,8797,356000,True,False,60s
84,3,1.0,1.0,0,0,3,6,98125,47.7264,-122.31,1570,7203,315000,True,False,50s
85,3,1.5,2.0,0,0,3,9,98119,47.6337,-122.365,2020,4800,940000,True,True,<40s
86,5,2.25,1.5,0,0,5,7,98092,47.2909,-122.189,1590,8165,305000,True,False,60s
87,3,3.25,2.0,0,0,3,9,98056,47.5228,-122.199,1900,7349,461000,True,True,00s
88,2,2.25,2.0,0,0,4,7,98056,47.518,-122.194,1950,2025,215000,True,False,70s
89,2,1.75,2.0,0,0,3,7,98136,47.5394,-122.387,1030,1106,335000,False,True,00s
90,4,2.5,2.0,0,0,3,7,98023,47.2897,-122.372,1980,7510,243500,False,False,80s
91,5,2.75,2.0,0,0,4,10,98199,47.6506,-122.391,2520,6250,1100000,True,False,00s
92,3,1.0,1.0,0,0,3,7,98023,47.322,-122.351,1350,10500,153000,True,False,60s
93,3,1.5,1.0,0,0,3,8,98117,47.687,-122.386,1570,4500,430000,True,True,<40s
94,3,1.5,1.0,0,0,3,8,98117,47.687,-122.386,1570,4500,700000,True,True,<40s
95,4,2.5,1.0,0,0,3,7,98040,47.5873,-122.249,1950,6045,905000,True,True,40s
96,3,1.75,1.0,0,0,3,7,98032,47.3576,-122.277,1750,15616,247500,True,False,60s
97,4,1.5,1.0,0,0,4,7,98023,47.3036,-122.378,1160,6400,199000,False,False,70s
98,3,1.75,1.0,0,0,5,7,98038,47.4109,-121.958,1650,135036,314000,True,True,70s
99,3,2.5,2.0,0,2,3,9,98045,47.4838,-121.714,2550,35065,437500,True,False,90s
100,3,2.5,1.5,0,0,5,9,98102,47.6415,-122.315,2200,4500,850830,True,True,<40s
101,3,2.0,1.5,0,0,4,7,98117,47.6775,-122.372,1610,3478,555000,True,True,<40s
102,3,2.25,2.0,0,0,4,8,98077,47.7731,-122.08,2570,47777,699950,True,False,80s
103,3,2.5,2.0,0,0,3,8,98004,47.5814,-122.196,2370,8113,1090000,True,False,40s
104,3,1.0,1.0,0,0,3,7,98058,47.4375,-122.184,1640,14910,290000,True,False,50s
105,3,2.5,1.0,0,0,4,8,98058,47.4431,-122.133,2250,8162,375000,True,True,70s
106,3,1.0,1.5,0,0,4,7,98117,47.6878,-122.38,1240,4005,460000,True,True,<40s
107,2,1.75,1.0,0,0,4,8,98198,47.3813,-122.322,1270,4966,188500,True,False,80s
108,4,2.5,2.0,0,0,4,10,98077,47.7304,-122.082,2990,35001,680000,True,False,90s
109,5,1.75,2.0,0,0,4,7,98052,47.6417,-122.109,2500,9433,470000,True,False,40s
110,4,2.5,2.0,0,0,3,8,98027,47.5386,-122.053,1940,9636,597750,True,False,80s
111,3,1.75,1.0,0,0,5,6,98103,47.6823,-122.349,1380,3536,570000,True,True,<40s
112,3,1.75,1.0,0,0,4,7,98038,47.3624,-122.031,1540,11656,272500,False,True,70s
113,3,1.75,1.0,0,2,3,7,98108,47.5474,-122.295,2090,5500,329950,True,True,70s
114,4,2.5,2.0,0,3,3,9,98001,47.3183,-122.253,2640,8517,480000,True,True,00s
